Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
WW | NZ | Brand,Brand - Waterwell,Responsive search ad,https://waterwellclinic.co.nz/nz,Waterwell Clinic NZ,Waterwell Naturopath,"Kohei Iguchi, Naturopath",Book Waterwell Clinic Online,10+ Years Of Consultations,32 Five-Star Google Reviews,10+ Years In Skin Health,"Skin, Gut & Hormone Care",Free 15-Min Discovery Call,"Book Direct, No Waitlist",Official Waterwell Clinic Site,Waterwell Naturopathy Consults,Consults By Secure Video,"Consults Online, NZ-Wide",Same Practitioner Every Visit,"Waterwell Clinic - Kohei Iguchi's naturopathy practice. Skin, gut and hormone care.","Kohei Iguchi, naturopath. 32 five-star reviews and 10+ years in practice.","Book straight off the calendar. Consults by secure video, no waitlist, no forms first.","Start with a free 15-minute discovery call. No obligation, no pressure to commit.",waterwell,clinic
WW | NZ | Online Naturopath,Online Naturopath Consult,Responsive search ad,https://waterwellclinic.co.nz/nz,Online Naturopath NZ,Online Naturopath Consultation,Naturopath By Secure Video,A Decade Of Consultations,Works Alongside Your GP,Functional Testing Posted Home,32 Five-Star Reviews,A Decade In Skin Health,Start With A Free Chat,Book A Naturopath Online,"One Practitioner, Every Visit",Naturopath Video Consultation,Consults Across New Zealand,No Clinic Visit Required,Book Your Naturopath Consult,Full naturopath consults by secure video. Functional lab testing posted to your door.,"More than ten years in practice, with 32 five-star Google reviews.","Works alongside your GP and current medication, this adds to your care, not against it.","Free 15-minute discovery call first. No obligation, consults by video across NZ.",online,naturopath
WW | NZ | Online Naturopath,General Naturopathy,Responsive search ad,https://waterwellclinic.co.nz/nz,Naturopath NZ,"Naturopath, Anywhere In NZ",Qualified Naturopath Online,"Naturopath, Ten Years In","One Naturopath, All Of NZ","Rated 5 Stars, 32 Reviews",10+ Years Working With Skin,"Gut, Skin, Hormones & Energy",Book A Free 15-Min Chat,Naturopath Consultation Online,No Local Clinic Needed,Secure Video Consultations,A Plan Built Around You,"Naturopath, By Video, NZ-Wide",Book Your Naturopath Session,"Wherever you are in NZ, one experienced naturopath, no travel, no local clinic needed.","Gut, energy, hormones, skin and sleep, all covered by one qualified practitioner.",32 five-star reviews and 10+ years in practice. Free 15-minute discovery call first.,"Naturopathic consultations by secure video, right across New Zealand.",naturopath,nz
WW | NZ | Online Naturopath,Gut & Digestive Health,Responsive search ad,https://waterwellclinic.co.nz/conditions/gut-health,Naturopath For Gut Health,Naturopath For Bloating,"IBS Support, By Video",Gut Microbiome Testing NZ,Stool Testing Posted Home,Naturopath For Digestion,Skin-Focused For 10+ Years,"32 Reviews, All Five Stars",Adds To Your GP's Care,Book A Free 15-Min Call,Book A Gut Health Consult,Leaky Gut Naturopath NZ,Meet By Secure Video Call,"Data First, Not Guesswork",Book Your Gut Health Session,"Bloating, IBS or constipation? Gut and microbiome testing posted to your door.","10+ years in digestive health, 32 five-star reviews. Consults by secure video, NZ-wide.","Works alongside your GP, naturopathy that adds to your care, not against it.","Free 15-minute discovery call first. No obligation, book online in minutes.",gut,health
WW | NZ | Online Naturopath,Hormones & Women's Health,Responsive search ad,https://waterwellclinic.co.nz/conditions/hormones,Naturopath For Hormones,Naturopath For PCOS,Perimenopause Naturopath NZ,Naturopath For PMS,Hormone Testing Posted Home,Naturopath For Hormonal Acne,Over A Decade In Skin Care,Trusted: 32 Five-Star Reviews,Complements Your GP's Care,No-Cost Discovery Session,Book A Hormone Health Consult,Fertility Support Naturopath,"Video Consults, Fully Secure",A Plan Built Around Your Cycle,Book Your Hormone Consult,"PMS, perimenopause, PCOS or hormonal acne, hormone testing and care, by video.","Hormone testing posted to your door, then a plan built around your actual results.","10+ years in women's health, 32 five-star reviews. Free 15-minute call to start.","Works alongside your GP or specialist, this adds to your care, not against it.",hormones,health
WW | NZ | Online Naturopath,Fatigue & Energy,Responsive search ad,https://waterwellclinic.co.nz/conditions/fatigue,Naturopath For Fatigue,Chronic Fatigue Naturopath NZ,Adrenal Fatigue Naturopath,Naturopath For Burnout,Naturopath For Brain Fog,"Iron & Energy Testing, Home",10+ Years Experience,"32 Patients, 5-Star Reviews",Fits Around Your GP's Care,"A Free Chat, No Obligation",Book A Fatigue Consult,"Answers, Not Guesswork",See Kohei By Secure Video,A Tailored Energy Plan,Book Your Energy Session,"Exhausted or foggy? Iron, thyroid and adrenal testing posted straight to your door.","10+ years helping tired, run-down people feel steady again. 32 five-star reviews.","Free 15-minute discovery call first. Consults by secure video, wherever you are in NZ.","Works alongside your GP, naturopathy that adds to your care, not against it.",fatigue,energy
WW | NZ | Online Naturopath,Stress & Sleep,Responsive search ad,https://waterwellclinic.co.nz/conditions/stress-sleep,Naturopath For Stress,Naturopath For Sleep,Naturopath For Insomnia,"Cortisol Testing, At Home",Naturopath For Anxiety Support,Nervous System Support NZ,A Decade Of Experience,See Our 32 Five-Star Reviews,Keeps Your GP In The Loop,First Call's On Us,Book A Stress & Sleep Consult,"Calm, Not Just Coping","Private, Secure Video Calls",A Plan Built Around Sleep,Book Your Discovery Call,"Wired at night, flat by day? Cortisol and stress testing, then a real plan.","10+ years helping stressed, sleepless people find calm. 32 five-star reviews.","Free 15-minute discovery call first. Consults by secure video, NZ-wide.","Works alongside your GP, naturopathy that adds to your care, not against it.",stress,sleep
WW | NZ | Skin Conditions,Eczema,Responsive search ad,https://waterwellclinic.co.nz/conditions/eczema,Naturopath For Eczema NZ,Eczema Natural Treatment,Eczema Naturopath Online,Kohei Beat Eczema Himself,"Eczema-Gut Connection, Tested","Two Qualifications, One Visit",5 Stars Across 32 Reviews,"10+ Years, Real Experience",Lab Tests Posted To Your Door,Works With Your Current GP,"15 Minutes, Free, No Pitch",Book Your Eczema Consult,Consult Online By Video,"Eczema Naturopath, NZ-Wide",A Plan Built For Your Skin,Eczema naturopathy by secure video. Kohei beat severe eczema himself. Book free.,"Ten years working with skin, gut and immune health. Lab tests posted to your door.","Works alongside your GP or dermatologist, this adds to your care, not instead of it.","32 five-star reviews. Free 15-minute discovery call, no obligation, NZ-wide.",online,eczema
WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Responsive search ad,https://waterwellclinic.co.nz/conditions/tsw,TSW Naturopath NZ,"TSW Support, By Video",Red Skin Syndrome Naturopath,TSW Recovery Support,Coming Off Steroids? We Help,Ten Years On Skin Cases NZ,32 Five-Star Google Ratings,Over 10 Years Experience,Lab Testing Posted Home,No Need To Drop Your GP,Free Intro Call Available,Book Your TSW Consult,"One-On-One, At Your Pace","TSW Naturopath, NZ-Wide","Patience, Not Quick Fixes",Going through topical steroid withdrawal? A naturopath who takes it seriously.,"More than ten years in skin health. Consultations by secure video, NZ-wide.","Works alongside your GP, never instead of. Free 15-minute chat to start, no pressure.","Lab testing posted to your door, real data behind your plan, not guesswork.",online,tsw
WW | NZ | Skin Conditions,Psoriasis,Responsive search ad,https://waterwellclinic.co.nz/conditions/psoriasis,Psoriasis Naturopath NZ,Psoriasis Natural Treatment,Scalp Psoriasis Naturopath,"Diet, Gut & Psoriasis Care",Psoriasis Flare Up Naturopath,Naturopathic Skin Support,A Genuine 5-Star Record,A Decade In Natural Health,Functional Testing At Home,Keep Seeing Your GP Too,Book A Free Consult Chat,Book Your Psoriasis Consult,"Secure, Encrypted Video Calls","Psoriasis Naturopath, NZ-Wide",A Personalised Skin Plan,"Psoriasis support that looks at diet, gut and immune drivers, not just the surface.","Ten years working with psoriasis and skin health. By secure video, NZ-wide.",Works alongside your GP or dermatologist. Free 15-minute discovery call to start.,"32 five-star reviews. Lab testing posted to your door, real data, not guesswork.",online,psoriasis
WW | NZ | Skin Conditions,Acne,Responsive search ad,https://waterwellclinic.co.nz/conditions/acne,Acne Naturopath NZ,Hormonal Acne Naturopath,Adult Acne Naturopath NZ,Cystic Acne Naturopath,Hormonal & Cystic Acne Care,Skin-Focused Naturopathy,"32 Reviews, All 5 Stars",10+ Years In Practice,Naturopathy For Adult Acne,Pairs With Your Current Care,"Talk First, Free Of Charge",Book Your Acne Consult,Video-Based Consultations,"Acne Naturopath, NZ-Wide",A Plan Built Around Your Skin,Hormonal or cystic acne? Naturopathy that looks at gut and hormone drivers.,"More than ten years in skin health. Consultations by secure video, NZ-wide.","Works alongside your GP or dermatologist. Free 15-minute discovery call, no pressure.","32 five-star reviews. Lab testing posted to your door, real data, not guesswork.",online,acne
