Campaign	Ad Group	Ad type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Status
WW | NZ | Brand 2026	Brand - Waterwell	Responsive search ad	https://waterwellclinic.com/nz	Waterwell Clinic	Waterwell Naturopath	Kohei Iguchi, Naturopath	Skin, Gut, Hormones & Energy	Root-Cause Naturopathy	Tests Posted To Your Door	75-Min Initial Consultation	One Practitioner, Every Visit	Works Alongside Your GP	Free 15-Minute Chat First	Herbal Formulas Made For You	Waterwell, NZ-Wide	Book With Waterwell	See Consultation Options	Book Your Consultation	Waterwell Clinic. Kohei Iguchi's naturopathy practice for skin, gut, hormones and energy.	A 75-minute initial consultation that looks for the cause, not another thing to manage.	A free 15-minute discovery session first, or book the full consultation.	Naturopathy that works alongside your GP and current medication, not against it.	waterwell	clinic	Enabled
WW | NZ | Online Naturopath	Online Naturopath Consult	Responsive search ad	https://waterwellclinic.com/nz	Online Naturopath NZ	Online Naturopath Consultation	Told Your Bloods Are Normal	Tired Of Managing Symptoms	Find The Root Cause	Lab Testing, Done At Home	Consults By Secure Video	Same Practitioner Each Time	Your GP Stays In The Loop	Start With A Free 15 Mins	Individually Prescribed Herbs	Online Naturopath, NZ-Wide	Book A Naturopath Consult	See What's Actually Wrong	Book Your First Session	Still no answers after normal bloods? A 75-minute consultation that looks for the cause.	Functional testing posted to your door, then a plan built on your actual results.	Start with a free 15-minute session, or go straight to a full consultation.	Works alongside the medical care you already have. Nothing is replaced.	online	naturopath	Enabled
WW | NZ | Online Naturopath	General Naturopathy	Responsive search ad	https://waterwellclinic.com/nz	Naturopath NZ	Naturopath Consultation Online	No Good Naturopath Near You?	Answers, Not Another Symptom	Whole-Body, Not Just The Bit	Test Kits Sent Out To You	Fully Online Consultations	No Waitlist, Book Direct	Alongside Your Doctor's Care	Your First Call Is Free	Herbs Chosen For Your Case	Naturopath Across NZ	Book A Naturopathy Session	Get To The Cause	Book Your Consult Today	No decent naturopath nearby? Consultations run by video, so location stops mattering.	Gut, skin, hormones, sleep and energy, looked at together rather than one at a time.	A free 15-minute discovery session first, or book the full consultation.	Works alongside the medical care you already have. Nothing is replaced.	naturopath	nz	Enabled
WW | NZ | Online Naturopath	Herbal Medicine	Responsive search ad	https://waterwellclinic.com/nz	Medical Herbalist NZ	Online Herbal Medicine	Not Another Off-Shelf Bottle	Tried Every Supplement Going	Formulas Made For You	Answers From Actual Testing	A Full 75-Minute Appointment	Your Case, Not A Protocol	Keeps Your Doctor Informed	Free 15-Min Discovery Call	Made Up For Your Case	Herbal Medicine, NZ-Wide	Book A Herbal Consult	Get Your Own Formula	Speak To A Herbalist	Individually prescribed herbal formulas, chosen for your case, not pulled off a shelf.	Your formula is adjusted as your body responds, not repeated on autopilot.	Start with a free 15-minute session, or go straight to a full consultation.	Works alongside the medical care you already have. Nothing is replaced.	herbal	medicine	Enabled
WW | NZ | Skin Conditions	Eczema	Responsive search ad	https://waterwellclinic.com/nz	Naturopath For Eczema	Eczema Naturopath Online	Itching That Wakes You At 3am	Flares That Keep Coming Back	Eczema Starts On The Inside	Test First, Then Treat	Private, Secure Video Calls	One-On-One, Start To Finish	Works With Your Doctor	Start With A Free Chat	Not A Shelf Supplement	Eczema Support, NZ-Wide	Book An Eczema Consult	Treat The Cause, Not The Flare	Start Your Eczema Plan	Steroid creams calm the flare. They don't touch whatever keeps causing it.	Kohei was once head to toe in eczema himself. He treats the gut and immune drivers.	A free 15-minute discovery session first, or book the full consultation.	Works alongside the medical care you already have. Nothing is replaced.	online	eczema	Enabled
WW | NZ | Skin Conditions	Topical Steroid Withdrawal	Responsive search ad	https://waterwellclinic.com/nz	TSW Naturopath	Topical Steroid Withdrawal	Worse Since Stopping Steroids	Red, Burning, Shedding Skin	TSW Is A Process, Not A Flare	Lab Work Without The Clinic	Consult From Your Own Home	Time To Tell It Properly	Fits Around Your GP's Care	A Free First Conversation	Herbs Matched To Your Case	TSW Support, NZ-Wide	Book A TSW Consult	Get Real TSW Support	Start Your TSW Plan	Topical steroid withdrawal is brutal, and badly understood. You don't have to guess.	Kohei came off long-term steroids himself. Support that takes TSW seriously.	Start with a free 15-minute session, or go straight to a full consultation.	Naturopathy that works alongside your GP and current medication, not against it.	online	tsw	Enabled
WW | NZ | Skin Conditions	Psoriasis	Responsive search ad	https://waterwellclinic.com/nz	Naturopath For Psoriasis	Psoriasis Naturopath Online	Plaques That Never Fully Go	Flares With No Clear Trigger	Psoriasis Is An Immune Signal	Your Results, Your Plan	Online Video Appointments	Seen As A Whole Person	Alongside Your Current Care	Talk First, Free Of Charge	A Formula Built For You	Psoriasis Support, NZ-Wide	Book A Psoriasis Consult	Calm The Driver, Not The Skin	Start Your Psoriasis Plan	Psoriasis is immune-driven. Calming the skin without calming the driver never holds.	Diet, gut and immune factors looked at together, then tested where it's unclear.	A free 15-minute discovery session first, or book the full consultation.	Works alongside the medical care you already have. Nothing is replaced.	online	psoriasis	Enabled
WW | NZ | Skin Conditions	Acne	Responsive search ad	https://waterwellclinic.com/nz	Naturopath For Acne	Hormonal Acne Naturopath	Adult Acne That Won't Clear	Breakouts On A Monthly Cycle	Acne Is A Hormone & Gut Signal	Guesswork Taken Out	No Travel, No Waiting Room	Continuity, Every Appointment	Your Doctor Stays Involved	Free Intro Call Available	Adjusted As Your Body Responds	Acne Support, NZ-Wide	Book An Acne Consult	Clear It From The Inside	Start Your Acne Plan	Adult acne is rarely about your face wash. Usually it's hormones and gut.	Hormone and gut testing posted out, then a plan built on what it actually shows.	Start with a free 15-minute session, or go straight to a full consultation.	Works alongside the medical care you already have. Nothing is replaced.	online	acne	Enabled
WW | NZ | Skin Conditions	Rosacea	Responsive search ad	https://waterwellclinic.com/nz	Naturopath For Rosacea	Rosacea Naturopath Online	Redness That Flares At Random	Flushing You Can't Predict	Find Your Rosacea Triggers	Tested, Not Assumed	Appointments That Fit Work	The Same Face Each Time	With Your GP, Not Against	First Conversation Is Free	Custom Herbal Prescribing	Rosacea Support, NZ-Wide	Book A Rosacea Consult	Find What Sets It Off	Start Your Rosacea Plan	Rosacea flares have triggers. Most people are never shown how to find theirs.	Gut, diet and trigger factors mapped properly, rather than managing the redness.	A free 15-minute discovery session first, or book the full consultation.	Naturopathy that works alongside your GP and current medication, not against it.	online	rosacea	Enabled
WW | NZ | Skin Conditions	Skin Infections	Responsive search ad	https://waterwellclinic.com/nz	Naturopath For Skin Infections	Chronic Hives Naturopath	Infections That Keep Returning	Hives With No Known Cause	Recurring Is An Immune Signal	Evidence Before Advice	Seen Properly, Not Rushed	Your History Actually Heard	Supports Your Medical Care	A Free Chat Before You Book	Herbal Medicine, Personalised	Skin Support, NZ-Wide	Book A Skin Consult	Stop The Cycle Repeating	Start Your Skin Plan	Skin infections and hives that keep returning are a signal, not bad luck.	Immune and gut testing posted out, so recurring problems get looked at properly.	Start with a free 15-minute session, or go straight to a full consultation.	Works alongside the medical care you already have. Nothing is replaced.	online	skin	Enabled
