Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
WW | NZ | Brand,Brand - Waterwell,Responsive search ad,https://waterwellclinic.co.nz/nz,Waterwell Clinic,Waterwell Naturopathy,"Kohei Iguchi, Naturopath",Online Naturopath Consults,Eczema & Skin Specialists,Free 15-Min Discovery Call,Book A Free Online Session,32 Five-Star Reviews,10+ Years In Natural Health,Consults By Secure Video,Root-Cause Natural Care,A Plan Built Only For You,He Beat Eczema Himself,"No Waiting Room, No Travel",Book Your Free Discovery,Waterwell Clinic - online naturopathy and skin health with Kohei Iguchi. Book free.,"Start with a free 15-minute discovery call, straight off the calendar.","Root-cause care for eczema, TSW, psoriasis and acne. 32 five-star reviews.","Consults by secure video, wherever you are in New Zealand.",official,book
WW | NZ | Online Naturopath,Online Naturopath Consult,Responsive search ad,https://waterwellclinic.co.nz/nz,Online Naturopath Consults,See A Naturopath By Video,"Treat The Cause, Not Symptoms","Health, From The Inside Out",No Two Cases Are The Same,A Plan Built Just For You,"No Pressure, Just A Chat",Free 15-Min Discovery Call,Book A Free Online Session,He Beat Eczema Himself,10+ Years In Natural Health,Naturopath & Med Herbalist,"Lab Tests, Done From Home",Works Alongside Your Meds,"No Waiting Room, No Travel","Full naturopath consults by secure video, with functional tests posted to your door.",Kohei beat severe eczema himself - 10+ years and hundreds of patients since.,"Root-cause care built only for you, and it works alongside your current medication.","Begin with a free 15-min video chat - no obligation, bring a family member if it helps.",online,consult
WW | NZ | Online Naturopath,General Naturopathy,Responsive search ad,https://waterwellclinic.co.nz/nz,"Online Naturopath, NZ-Wide",See A Naturopath By Video,"Gut, Energy & Whole Health",Root-Cause Natural Care,Free 15-Min Discovery Call,10+ Years Experience,A Plan Built Just For You,"No Waiting Room, No Travel",Naturopathy From Home,"Online, NZ-Wide","Tired, Bloated, Run Down?",32 Five-Star Reviews,Qualified Naturopath,Book A Free Discovery Call,"Treat The Cause, Not Symptoms","Online naturopathy for gut, energy, hormones and whole-body health. By secure video.","Root-cause natural care, online across New Zealand. Start with a free chat.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.","10+ years helping people feel well again. A plan built around you, not a template.",online,naturopath
WW | NZ | Online Naturopath,Gut & Digestive Health,Responsive search ad,https://waterwellclinic.co.nz/nz,Naturopath For Gut Health,Online Gut Health Support,Bloating & Digestion Help,Root-Cause Gut Care,Free 15-Min Discovery Call,Naturopath For IBS Support,"Leaky Gut, Naturally",10+ Years In Natural Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",Gut-Skin Connection Care,32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,"Online naturopathy for bloating, IBS and gut health. Root-cause care, by secure video.","Free 15-minute discovery call first. No pressure, no obligation, just a real chat.",10+ years helping people fix digestion from the inside out. A plan built only for you.,"Consults by secure video, NZ-wide. Book a free discovery call to get started.",gut,health
WW | NZ | Online Naturopath,Hormones & Women's Health,Responsive search ad,https://waterwellclinic.co.nz/nz,Naturopath For Hormones,Online Hormone Support,PMS & Cycle Naturopathy,"Menopause, Naturally",Free 15-Min Discovery Call,Root-Cause Hormone Care,Fertility Support Naturopath,10+ Years In Natural Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",Hormonal Acne Support,32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,"Online naturopathy for hormones, cycles and menopause. Root-cause care, by video.","Free 15-minute discovery call first. No pressure, no obligation, just a real chat.",10+ years helping people balance hormones naturally. A plan built only for you.,"Consults by secure video, NZ-wide. Book a free discovery call to get started.",hormones,health
WW | NZ | Online Naturopath,Fatigue & Energy,Responsive search ad,https://waterwellclinic.co.nz/nz,Naturopath For Fatigue,Online Energy Support,Adrenal Fatigue Care,Tired All The Time?,Free 15-Min Discovery Call,Root-Cause Fatigue Care,Naturopath For Burnout,10+ Years In Natural Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",Natural Energy Support,32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,"Online naturopathy for fatigue, burnout and low energy. Root-cause care, by video.","Free 15-minute discovery call first. No pressure, no obligation, just a real chat.","10+ years helping tired, run-down people feel well again. A plan built for you.","Consults by secure video, NZ-wide. Book a free discovery call to get started.",fatigue,energy
WW | NZ | Online Naturopath,Stress & Sleep,Responsive search ad,https://waterwellclinic.co.nz/nz,Naturopath For Stress,Online Sleep Support,Naturopath For Insomnia,Calm The Nervous System,Free 15-Min Discovery Call,Root-Cause Stress Care,Natural Sleep Support,10+ Years In Natural Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide","Stressed & Wired, Tired?",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,"Online naturopathy for stress, sleep and a wired nervous system. By secure video.","Free 15-minute discovery call first. No pressure, no obligation, just a real chat.","10+ years helping stressed, sleepless people find calm. A plan built only for you.","Consults by secure video, NZ-wide. Book a free discovery call to get started.",stress,sleep
WW | NZ | Skin Conditions,Eczema,Responsive search ad,https://waterwellclinic.co.nz/conditions/eczema,Online Naturopath For Eczema,"Eczema, From The Inside Out","Treat The Root, Not Just Skin","Natural Eczema Support, NZ",Free 15-Min Discovery Call,10+ Years In Skin Health,He Beat Eczema Himself,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide","Eczema, TSW & More",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Online, root-cause naturopathy for eczema and TSW. Same depth, by video. Book free.","Kohei beat severe eczema himself. 10+ years and hundreds of patients later, he helps you.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Consults by secure video across New Zealand. Start with a free 15-minute chat.,online,eczema
WW | NZ | Skin Conditions,Topical Steroid Withdrawal,Responsive search ad,https://waterwellclinic.co.nz/conditions/tsw,Naturopath For TSW Support,Topical Steroid Withdrawal,"Support Through TSW, Online",He Came Through It Himself,Root-Cause Skin Support,Free 15-Min Discovery Call,10+ Years In Skin Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide","Natural, Individual Care",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Natural, root-cause support through topical steroid withdrawal. Online, by video.",Kohei came through severe skin struggles himself. 10+ years helping others since.,"A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Support by secure video across New Zealand. Start with a free 15-minute chat.,online,tsw
WW | NZ | Skin Conditions,Psoriasis,Responsive search ad,https://waterwellclinic.co.nz/conditions/psoriasis,Naturopath For Psoriasis,Online Psoriasis Care,Natural Psoriasis Support,Scalp Psoriasis Help,Free 15-Min Discovery Call,Root-Cause Skin Care,10+ Years In Skin Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Natural, Root-Cause Care","Online, root-cause naturopathy for psoriasis. Same depth, by video. Book free.","10+ years in skin health, treating the cause, not just the flare. By video, NZ-wide.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Consults by secure video across New Zealand. Start with a free 15-minute chat.,online,psoriasis
WW | NZ | Skin Conditions,Acne,Responsive search ad,https://waterwellclinic.co.nz/conditions/acne,Naturopath For Acne,Online Acne Naturopathy,Hormonal Acne Support,"Adult Acne, Naturally",Free 15-Min Discovery Call,Root-Cause Skin Care,10+ Years In Skin Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Natural, Root-Cause Care","Online, root-cause naturopathy for acne. Same depth, by video. Book free today.","10+ years in skin health, treating the cause, not just the breakout. NZ-wide.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Consults by secure video across New Zealand. Start with a free 15-minute chat.,online,acne
